Channel,Cons_12m,Cons_gas_12m,Forecast_discount_energy,Has_gas,Imp_cons,Margin_net,Net_margin,Origin,Pow_max,Churn,contract_modification_interval,contract_interval,price_off_peak_fix,price_mid_peak_fix,avg_price_annual,avg_price_6_months,avg_price_3_months
BB,5429,0,0,0,0,37.56,79.9,A,15,0,3,5,44.26693,0,0.14596183225512505,0.14463385939598083,0.1433590054512024
FF,7693,0,0,0,0,17.67,109.53,A,13.86,0,3,4,44.44471,0,0.1482581632832686,0.14583171265465872,0.14414649829268456
FF,6062,6199,0,1,66.94,23.38,77.11,E,17.25,0,3,4,40.565968,16.226389,0.12503891872862974,0.12205828832728523,0.11933600157499313
BB,14094,0,0,0,135.09,21.66,161.16,A,15.1,0,0,4,40.565968,16.226389,0.12278558065493901,0.12050671236855644,0.11817499995231628
AA,21286,0,0,0,0,13.03,175.33,B,10.35,0,0,6,44.26693,0,0.16814024870594343,0.16707686015537807,0.16605600714683533
DD,4535,0,0,0,0,12.3,60.64,B,10.35,1,4,5,44.26693,0,0.14580050110816956,0.1441402861050197,0.14330600202083588
BB,10576,0,0,0,92.86,43.94,133.26,A,24.24,0,0,3,40.565968,16.226389,0.12519333325326443,0.12224771401711873,0.11991599947214127
BB,16736,308,0,1,132.96,33.74,145.91,A,20.785,0,1,3,40.565968,16.226389,0.12226758090158303,0.12050671236855644,0.11817499995231628
BB,46423,0,0,0,347.02,29.64,202.07,A,13.15,0,4,5,44.26693,0,0.14791741594672203,0.14663356968334743,0.14529774710536003
DD,8094,0,0,0,227.02,20.34,99.29,B,14.49,0,0,6,44.26693,0,0.17069866135716438,0.16981056545461928,0.16895799338817596
FF,8992,0,0,0,210.9,10.08,130.51,A,10.392,0,0,5,44.26693,0,0.14968157932162285,0.14847771184785025,0.14742624759674072
BB,1060,0,0,0,12.63,21.09,7.94,A,10.392,0,0,5,44.26693,0,0.15070391818881035,0.14946028590202332,0.1483372487127781
BB,9277,0,0,0,113.41,32.88,143.6,A,13.15,1,2,4,44.44471,0,0.15107133239507675,0.14986085891723633,0.14858600497245789
BB,17956,0,0,0,0,2.24,129.99,B,17.25,0,6,7,40.565968,16.226389,0.12348116375505924,0.12072999881846565,0.11850950121879578
BB,16087,0,0,0,0,14.7,185.11,A,13.856,0,3,4,44.26693,0,0.14617825175325075,0.144287713936397,0.14330600202083588
DD,15084,0,0,0,0,27.14,196.45,B,13.2,0,0,5,44.26693,0,0.14805133268237114,0.1469588577747345,0.14568400382995605
BB,7502,0,0,0,0,16.92,26.2,A,10.392,0,2,3,44.26693,0,0.14887133737405142,0.1479144309248243,0.14678800106048584
BB,328,0,0,0,4.35,27.28,4.41,A,13.856,0,6,7,44.26693,0,0.1491998371978601,0.1474604308605194,0.14544500038027763
FF,8844,0,0,0,0,19.2,136.8,A,10.39,0,2,3,44.26693,0,0.14860750113924345,0.14713386126926967,0.1458590030670166
FF,14150,0,0,0,456.68,9.6,175.15,B,14.49,0,4,5,44.26693,0,0.14725591614842415,0.14536585552351816,0.14351049810647964
BB,11693,1771,0,1,0,21.9,140.1,E,13.2,0,0,7,44.26693,0,0.14701683695117632,0.14597386121749878,0.14469900727272034
BB,12791,23187,0,1,64.16,13.4,68.75,A,13.856,0,3,4,44.26693,0,0.14741508041818938,0.14475799884114945,0.1435139998793602
BB,2347,0,0,1,25.56,43.32,23.1,A,17.321,0,3,6,40.565968,16.226389,0.1238505815466245,0.1217367138181414,0.11940500140190125
AA,8391,0,0,0,0,15.78,105.17,A,13.856,0,3,4,44.44471,0,0.15060849860310555,0.1488660020487649,0.1468450054526329
BB,9343,19615,0,1,77.2,31.64,114.11,A,20,0,3,4,40.565968,16.226389,0.12502175259093443,0.1218630022236279,0.11933600157499313
FF,18338,0,0,0,0,20.54,28.56,A,10.392,0,3,4,44.26693,0,0.14914458245038986,0.14678713892187392,0.1445239931344986
BB,7813,0,0,0,131.12,16.13,87.18,A,11.43,0,0,5,44.26693,0,0.14979741101463637,0.14867628046444484,0.147599995136261
BB,14488,0,0,0,214.15,22.95,163.68,A,13.86,0,0,3,44.26693,0,0.1477393383781115,0.14597386121749878,0.14469900727272034
FF,3080,0,0,0,22.17,37.42,39.01,A,20,0,0,5,40.565968,16.226389,0.12763158480326334,0.12520271326814378,0.12287099659442902
FF,6138,0,0,0,0,10.08,69.57,B,10.392,0,0,5,44.26693,0,0.14523199821511903,0.14415271154471807,0.14332549646496773
BB,3467,0,0,0,0,26.04,20.83,A,10.39,1,0,6,44.26693,0,0.15121008455753326,0.14986085891723633,0.14858600497245789
BB,8283,0,0,0,0,26.28,120.12,E,11.5,0,0,7,44.26693,0,0.14996483301122984,0.14904785581997462,0.14777299761772156
BB,7217,0,0,0,104.32,28.6,86.89,A,13.856,0,0,4,44.26693,0,0.15055983265240988,0.14887485333851405,0.147599995136261
BB,4624,0,0,0,0,10.66,50.53,A,11,0,3,4,44.26693,0,0.14646941547592482,0.14426542818546295,0.14330600202083588
BB,5894,0,0,0,179.08,28.9,82.74,A,14,0,0,3,44.26693,0,0.1512171688179175,0.14986085891723633,0.14858600497245789
BB,39524,0,0,0,0,11.95,186.87,A,13.85,0,3,4,44.26693,0,0.14635508507490158,0.1448394294295992,0.1435137502849102
BB,17600,0,0,0,0,15.16,230.36,A,10.392,0,2,3,44.26693,0,0.14730783303578696,0.14622413899217332,0.14504699409008026
BB,1828,0,0,0,8.88,27.07,19.92,A,20,0,1,4,40.565968,16.226389,0.12040983388821284,0.11808543013674873,0.11585400253534317
BB,24888,0,0,0,0,15.12,90.44,A,13.2,1,4,5,44.44471,0,0.15017332881689072,0.14811999670096807,0.14553949609398842
